date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:39:41	26817/26817	---M--	200	added ('OK')	text/css	date:Wed,%2024%20Jun%202020%2009:57:53%20GMT	http://adshapedigital.com/wp-content/plugins/radiantthemes-addons/assets/css/radiant-style-nav.css?ver=1594806152	adshapedigital.com/wp-content/plugins/radiantthemes-addons/assets/css/radiant-style-navbc1d.css	(from http://adshapedigital.com/new-trends-in-online-branding/)
13:39:45	725778/725778	---M--	200	added ('OK')	text/css	date:Wed,%2024%20Jun%202020%2009:57:53%20GMT	http://adshapedigital.com/wp-content/plugins/radiantthemes-addons/assets/css/radiantthemes-addons-custom.css?ver=1594806152	adshapedigital.com/wp-content/plugins/radiantthemes-addons/assets/css/radiantthemes-addons-custombc1d.css	(from http://adshapedigital.com/new-trends-in-online-branding/)
13:39:45	407/407	---M--	200	added ('OK')	text/css	date:Wed,%2024%20Jun%202020%2009:57:53%20GMT	http://adshapedigital.com/wp-content/plugins/radiantthemes-addons/assets/css/radiant-responsive-nav.css?ver=1594806152	adshapedigital.com/wp-content/plugins/radiantthemes-addons/assets/css/radiant-responsive-navbc1d.css	(from http://adshapedigital.com/new-trends-in-online-branding/)
13:39:47	5240/5240	---M--	200	added ('OK')	text/css	date:Fri,%2026%20Jun%202020%2015:17:37%20GMT	http://adshapedigital.com/wp-content/uploads/elementor/css/post-23613.css?ver=1593184657	adshapedigital.com/wp-content/uploads/elementor/css/post-2361397cf.css	(from http://adshapedigital.com/new-trends-in-online-branding/)
13:39:48	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2015%20Jul%202020%2010:39:47%20GMT	http://adshapedigital.com/?p=23613	adshapedigital.com/index5270.html	(from http://adshapedigital.com/new-trends-in-online-branding/)
13:39:48	2617/2617	---MC-	200	added ('OK')	application/json	date:Wed,%2015%20Jul%202020%2010:39:47%20GMT	http://adshapedigital.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fadshapedigital.com%2Fnew-trends-in-online-branding%2F	adshapedigital.com/wp-json/oembed/1.0/embed49e0.json	(from http://adshapedigital.com/new-trends-in-online-branding/)
13:39:50	2750/2750	---MC-	200	added ('OK')	text/xml	date:Wed,%2015%20Jul%202020%2010:39:48%20GMT	http://adshapedigital.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fadshapedigital.com%2Fnew-trends-in-online-branding%2F&format=xml	adshapedigital.com/wp-json/oembed/1.0/embedf039	(from http://adshapedigital.com/new-trends-in-online-branding/)
13:39:52	36919/36919	---M--	200	added ('OK')	application/javascript	date:Wed,%2024%20Jun%202020%2009:51:06%20GMT	http://adshapedigital.com/wp-content/themes/qik/assets/js/bootstrap.min.js?ver=1594806152	adshapedigital.com/wp-content/themes/qik/assets/js/bootstrap.minbc1d.js	(from http://adshapedigital.com/new-trends-in-online-branding/)
13:39:52	6911/6911	---M--	200	added ('OK')	application/javascript	date:Wed,%2024%20Jun%202020%2009:51:06%20GMT	http://adshapedigital.com/wp-content/themes/qik/assets/js/jquery.sidr.min.js?ver=1594806152	adshapedigital.com/wp-content/themes/qik/assets/js/jquery.sidr.minbc1d.js	(from http://adshapedigital.com/new-trends-in-online-branding/)
13:39:53	2461/2461	---M--	200	added ('OK')	application/javascript	date:Wed,%2024%20Jun%202020%2009:51:06%20GMT	http://adshapedigital.com/wp-content/themes/qik/assets/js/jquery.onePageNav.min.js?ver=1594806152	adshapedigital.com/wp-content/themes/qik/assets/js/jquery.onePageNav.minbc1d.js	(from http://adshapedigital.com/new-trends-in-online-branding/)
13:39:53	3278/3278	---M--	200	added ('OK')	application/javascript	date:Wed,%2024%20Jun%202020%2009:51:06%20GMT	http://adshapedigital.com/wp-content/themes/qik/assets/js/jquery.matchHeight-min.js?ver=1594806152	adshapedigital.com/wp-content/themes/qik/assets/js/jquery.matchHeight-minbc1d.js	(from http://adshapedigital.com/new-trends-in-online-branding/)
13:39:54	8343/8343	---M--	200	added ('OK')	application/javascript	date:Wed,%2024%20Jun%202020%2009:51:06%20GMT	http://adshapedigital.com/wp-content/themes/qik/assets/js/wow.min.js?ver=1594806152	adshapedigital.com/wp-content/themes/qik/assets/js/wow.minbc1d.js	(from http://adshapedigital.com/new-trends-in-online-branding/)
13:39:59	4324/4324	---M--	200	added ('OK')	application/javascript	date:Wed,%2024%20Jun%202020%2009:51:06%20GMT	http://adshapedigital.com/wp-content/themes/qik/assets/js/jquery.sticky.min.js?ver=1594806152	adshapedigital.com/wp-content/themes/qik/assets/js/jquery.sticky.minbc1d.js	(from http://adshapedigital.com/new-trends-in-online-branding/)
13:39:59	59928/59928	---M--	200	added ('OK')	application/javascript	date:Wed,%2024%20Jun%202020%2009:51:06%20GMT	http://adshapedigital.com/wp-content/themes/qik/assets/js/jquery.nicescroll.min.js?ver=1594806152	adshapedigital.com/wp-content/themes/qik/assets/js/jquery.nicescroll.minbc1d.js	(from http://adshapedigital.com/new-trends-in-online-branding/)
13:40:06	14365/14365	---M--	200	added ('OK')	application/javascript	date:Wed,%2024%20Jun%202020%2009:51:06%20GMT	http://adshapedigital.com/wp-content/themes/qik/assets/js/radiantthemes-custom.js?ver=1594806152	adshapedigital.com/wp-content/themes/qik/assets/js/radiantthemes-custombc1d.js	(from http://adshapedigital.com/new-trends-in-online-branding/)
13:40:06	241/241	---M--	200	added ('OK')	application/javascript	date:Wed,%2024%20Jun%202020%2009:51:06%20GMT	http://adshapedigital.com/wp-content/themes/qik/assets/js/loader.js?ver=1594806152	adshapedigital.com/wp-content/themes/qik/assets/js/loaderbc1d.js	(from http://adshapedigital.com/new-trends-in-online-branding/)
